rms,zcr,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,file,classID,cluster,cluster_label
0.05810416,0.024769884474734,2397.173641340015,-422.9743,84.81762,28.96419,4.2908993,-12.734874,-0.6304573,2.1967714,-6.9778376,-9.476781,-5.1173525,-6.2132034,-5.620963,1.9223211,101415-3-0-2.wav,3,3,Children Playing
0.064934134,0.0221492686170212,1733.7108206240964,-398.0555,115.29089,44.483643,7.0501075,-22.044054,-4.3410234,1.0226239,-13.965656,-18.509304,-14.003156,-14.930973,-9.412491,2.7800164,101415-3-0-3.wav,3,0,Engine Idling
0.035078242,0.0303072016289893,2898.104171641514,-434.61487,65.10177,16.813124,5.240358,-2.555331,4.792856,2.7874372,-3.7366934,-3.9302385,-1.0904162,-1.0558091,-0.8591617,4.27422,101415-3-0-8.wav,3,2,Drilling Noise
0.026732316,0.0776711047535211,2905.038714292943,-313.1698,143.44803,-44.68383,0.9663661,-29.765625,16.56672,-25.774258,17.220922,-11.314534,7.6648097,6.174979,1.880191,7.2718163,102106-3-0-0.wav,3,2,Drilling Noise
0.020518117,0.0262065972222222,2203.709036833083,-429.27313,145.64424,22.035717,34.74038,-3.5450325,2.908078,-4.8970904,0.38642877,1.5043468,3.6883843,3.4961464,2.568971,-0.57154566,102305-6-0-0.wav,6,3,Children Playing
0.009855949,0.0494579370471014,4029.888224491947,-419.73343,102.87503,33.745495,37.740307,12.706278,14.524516,5.2668524,4.5780063,0.03795603,-1.2018167,-3.9154215,-3.7422445,-5.152728,102842-3-0-1.wav,3,1,Traffic Horns
0.0083471155,0.0487290534420289,3923.997699777139,-404.5509,111.35552,24.866486,27.024214,5.655854,10.402466,3.1370797,2.1137178,-4.461923,-4.8865557,-3.6204278,0.17289442,0.07451539,102842-3-1-0.wav,3,1,Traffic Horns
0.0057185013,0.0725939764492753,4869.339420896416,-420.22247,93.3846,16.679752,26.039553,6.877137,11.948073,3.9542658,3.8865564,0.38346314,0.5696806,-0.031184409,1.816416,1.259511,102842-3-1-5.wav,3,1,Traffic Horns
0.0053704088,0.0776466259057971,5076.327697757766,-423.9778,89.327896,14.725592,25.422728,6.7959104,11.734108,4.785041,5.204268,1.8775123,1.710711,0.10673342,2.0858777,1.816586,102842-3-1-6.wav,3,1,Traffic Horns
0.032015126,0.0906631794381648,3497.0520081002787,-219.70966,144.60335,-49.61798,52.776455,-22.031622,12.790707,-12.543912,15.231094,-11.714535,12.035832,-4.06678,1.5676413,-4.5236874,103074-7-0-0.wav,7,2,Drilling Noise
0.030125555,0.0907917428523936,3655.216200181617,-221.26991,138.13602,-48.277157,53.469753,-20.453718,14.721787,-13.356619,17.993738,-8.873703,14.821491,-2.2213707,2.5773368,-3.820274,103074-7-0-1.wav,7,2,Drilling Noise
0.03111124,0.0888710833610372,3577.801343039327,-221.31616,139.05916,-51.12908,50.97142,-20.446926,15.057484,-10.872688,19.341953,-7.107971,15.754886,-0.26286665,2.8592887,-3.8700416,103074-7-0-2.wav,7,2,Drilling Noise
0.03102863,0.0840311253324468,3519.485783894974,-226.6586,140.95122,-43.048473,54.57097,-21.21554,14.692201,-13.01412,15.735279,-10.641469,10.14513,-1.7272271,2.8706987,-4.638853,103074-7-1-0.wav,7,2,Drilling Noise
0.030591883,0.085499864943484,3538.4753775797813,-225.48833,140.76347,-43.52257,57.178093,-20.960623,13.501429,-13.922784,14.979452,-11.86526,10.465,-2.0398126,-0.30059195,-4.2436285,103074-7-1-1.wav,7,2,Drilling Noise
0.03268309,0.0955914436502659,3639.833985227622,-214.80394,138.8495,-49.176216,58.745605,-21.768017,11.896521,-12.219402,15.227629,-12.846846,11.240061,-2.719575,-0.66857535,-5.0054665,103074-7-1-2.wav,7,2,Drilling Noise
0.032188524,0.0992145944148936,3690.3940196131766,-214.02577,137.33417,-51.24579,58.21415,-21.564999,10.346158,-11.981069,15.0341,-12.700868,10.308524,-2.2033587,-1.7943411,-7.830489,103074-7-1-3.wav,7,2,Drilling Noise
0.031199573,0.0936590965757978,3612.172322343624,-219.87878,139.25212,-49.361355,57.306774,-21.074425,9.142801,-12.992634,13.742636,-14.995278,8.973576,-3.5090625,-4.948213,-9.588339,103074-7-1-4.wav,7,2,Drilling Noise
0.029665893,0.0761874584441489,3395.1826624470787,-238.81636,145.59015,-40.626408,57.750988,-20.994686,14.503328,-13.990406,12.0046625,-15.781308,8.796242,-1.3693148,-5.139414,-10.050927,103074-7-1-5.wav,7,2,Drilling Noise
0.025012486,0.059254747755984,2981.31322900175,-272.8431,157.2947,-36.43427,55.91294,-20.0656,14.330016,-9.134891,10.928826,-11.516665,8.109982,1.1308664,-1.4374114,-7.0971065,103074-7-1-6.wav,7,2,Drilling Noise
0.030152427,0.0945688100961538,3420.713073160131,-233.16376,148.12106,-55.542316,54.914833,-23.445673,10.371593,-11.9494705,10.487783,-11.656216,11.60246,-4.377432,4.359571,-7.4125996,103074-7-2-0.wav,7,2,Drilling Noise
0.03391295,0.1019105302526595,3790.113498567929,-209.73312,136.56297,-58.183353,58.744297,-25.397161,16.81508,-10.885082,15.162726,-10.282987,13.478413,-2.0187345,3.0249484,-10.314212,103074-7-3-0.wav,7,2,Drilling Noise
0.03225442,0.0935071579953457,3710.796818349721,-218.12093,137.83908,-51.07366,62.4077,-23.702383,16.41633,-8.91142,14.703942,-10.026374,12.368366,-3.4196796,1.7596596,-9.85301,103074-7-3-1.wav,7,2,Drilling Noise
0.03459582,0.0863881212599734,3591.7808813538663,-218.94084,138.43993,-48.50132,62.638992,-20.534666,15.603765,-7.882732,11.391521,-8.388185,12.984188,-0.917684,-2.6873472,-10.162137,103074-7-3-2.wav,7,2,Drilling Noise
0.032381568,0.0743057575631648,3237.452767518822,-237.64171,149.09656,-46.105957,57.597946,-18.564182,13.667774,-8.117154,8.554465,-7.6568713,12.516847,1.490268,-5.010282,-8.636858,103074-7-3-3.wav,7,2,Drilling Noise
0.033154946,0.1019767598902925,3889.837308354221,-210.75752,131.96898,-53.01297,57.780724,-23.9199,17.839056,-18.174597,11.797849,-10.759623,11.945665,1.967873,3.2307904,-4.414027,103074-7-4-0.wav,7,1,Traffic Horns
0.035271022,0.1054752431017287,4029.171039632161,-203.88335,126.97683,-50.57056,62.83595,-21.966637,23.025715,-15.281595,11.101943,-9.822313,13.128873,1.4265406,1.4866556,-7.0901475,103074-7-4-1.wav,7,1,Traffic Horns
0.037915487,0.1069712537400266,4139.016226503234,-199.10223,125.90749,-48.67909,67.75006,-22.205717,27.375322,-16.100328,13.661771,-12.827129,15.278216,-2.245256,0.4266208,-7.4788375,103074-7-4-2.wav,7,1,Traffic Horns
